Class Visit Date,Class Visit Time,First,Last,Preferred Name,Sex,Current Employer,Industry,Undergraduate Institution,Degree,Citizenship,Military,Country,State,City,Section,Classroom,Course
11/16/15,800,Rouzbeh,Vand,Patrick,M,Northrop Grumman Corporation,Manufacturing,University of Georgia,BA - Bachelor of Arts,United States,No,USA,Maryland,Rockville,,,
11/16/15,800,Travis,Bowman,Blake,M,JP Morgan,Financial Services: Investment Banking/Brokerage,James Madison University,BS - Bachelor of Science,United States,Yes,USA,Maryland,Silver Spring,,,
11/16/15,800,Rob,Colton,Jared,M,Ernst & Young,Accounting,Brigham Young University,MSA - Master of Science in Acct.,United States,Yes,USA,Virginia,Fairfax,,,
11/16/15,800,Jane,Dow,Elizabeth,F,Vox Media,Media/Entertainment/Communications,University of Florida,BS - Bachelor of Science,United States,No,USA,Virginia,Richmond,,,
11/16/15,800,Reza,Flanagan,,M,,,,,,No,,,,,,
11/16/15,800,Kelly,Smart,Kathryn,F,Bessemer Trust,Financial Services,University of Virginia,BA - Bachelor of Arts,United States,Yes,USA,California,Oakland,,,
11/16/15,800,Michael,Jarvis,Mike,M,U.S. Army,Military,University of North Georgia,BBA - Bachelor of Business Administration,United States,No,USA,California,Los Angeles,,,
11/16/15,800,Emilee,Powers,Delilah,F,World Bank,Media/Entertainment/Communications,Hong Kong Baptist University,MA - Master of Arts,China,No,China,,,,,
11/16/15,1145,Howard,Johnson,Jordan,M,Primalend Capital Partners,Financial Services,Brigham Young University,BS - Bachelor of Science,United States,No,USA,Virginia,Charlottesville,,,
11/16/15,1145,James,Monroe,James,M,Knighthead Capital Management,Financial Services: Hedge Fund/Mutual Fund,Florida State University,MSA - Master of Science in Acct.,United States,No,USA,Nevada,Las Vegas,,,
11/16/15,1145,Matthew,Decker,Matt,M,Accenture,Consulting,Washington University in St. Louis,BS - Bachelor of Science,United States,No,USA,Washington,Seattle,,,
11/16/15,1145,Amy,Nice,Alexis,F,KeyBank NA,Financial Services,University of Washington,BBA - Bachelor of Business Administration,China,No,China,,,,,
11/16/15,1145,Sam,Totally,Sammy,M,American Airlines,Transportation Services,Duke University,BA - Bachelor of Arts,United States,Yes,USA,Oregon,Portland,,,
11/16/15,1145,Ralph,Winter,Arvind,M,Procter & Gamble,Consumer Products,University of Virginia,BS - Bachelor of Science,United States,Yes,USA,Texas,San Antonio,,,
11/16/15,1145,Fernando,Valensuela,Derek,M,Cambridge Associates,Financial Services: Investment Management/Portfolio Management,Boston College,BS - Bachelor of Science,United States,Yes,USA,Texas,San Antonio,,,
